year,county,population
2010,Polk,20481
2011,Polk,20358
2012,Polk,20309
2013,Polk,20589
2014,Polk,20818
2015,Polk,20896
2016,Polk,21127
2017,Polk,21303
2018,Polk,21535
2019,Polk,21696
2010,Randolph,141986
2011,Randolph,141929
2012,Randolph,142419
2013,Randolph,142398
2014,Randolph,142749
2015,Randolph,142816
2016,Randolph,143444
2017,Randolph,143620
2018,Randolph,144085
2019,Randolph,144914
2010,Richmond,46633
2011,Richmond,46610
2012,Richmond,46146
2013,Richmond,45924
2014,Richmond,45439
2015,Richmond,45353
2016,Richmond,44957
2017,Richmond,45155
2018,Richmond,45199
2019,Richmond,45079
2010,Robeson,134496
2011,Robeson,134578
2012,Robeson,134399
2013,Robeson,134138
2014,Robeson,133659
2015,Robeson,133493
2016,Robeson,132787
2017,Robeson,132041
2018,Robeson,131600
2019,Robeson,131056
2010,Rockingham,93658
2011,Rockingham,93276
2012,Rockingham,92800
2013,Rockingham,92210
2014,Rockingham,92441
2015,Rockingham,92055
2016,Rockingham,91936
2017,Rockingham,91447
2018,Rockingham,91746
2019,Rockingham,91788
2010,Rowan,138368
2011,Rowan,137841
2012,Rowan,137765
2013,Rowan,138118
2014,Rowan,138897
2015,Rowan,139639
2016,Rowan,140557
2017,Rowan,141445
2018,Rowan,141802
2019,Rowan,142643
2010,Rutherford,67737
2011,Rutherford,67928
2012,Rutherford,67920
2013,Rutherford,67705
2014,Rutherford,67545
2015,Rutherford,67627
2016,Rutherford,67679
2017,Rutherford,68279
2018,Rutherford,68423
2019,Rutherford,68908
2010,Sampson,63536
2011,Sampson,63694
2012,Sampson,63967
2013,Sampson,64152
2014,Sampson,64160
2015,Sampson,63900
2016,Sampson,63661
2017,Sampson,63872
2018,Sampson,64087
2019,Sampson,64284
2010,Scotland,36063
2011,Scotland,36401
2012,Scotland,36262
2013,Scotland,36079
2014,Scotland,35971
2015,Scotland,35718
2016,Scotland,35842
2017,Scotland,35843
2018,Scotland,35744
2019,Scotland,35732
2010,Stanly,60576
2011,Stanly,60605
2012,Stanly,60363
2013,Stanly,60586
2014,Stanly,61026
2015,Stanly,61212
2016,Stanly,61696
2017,Stanly,62736
2018,Stanly,63328
2019,Stanly,63727
2010,Stokes,47349
2011,Stokes,47234
2012,Stokes,46995
2013,Stokes,46648
2014,Stokes,46723
2015,Stokes,46557
2016,Stokes,46581
2017,Stokes,46617
2018,Stokes,46472
2019,Stokes,46420
2010,Surry,73769
2011,Surry,73536
2012,Surry,73472
2013,Surry,73014
2014,Surry,73432
2015,Surry,72535
2016,Surry,72732
2017,Surry,73047
2018,Surry,73232
2019,Surry,73232
2010,Swain,14011
2011,Swain,14188
2012,Swain,14423
2013,Swain,14538
2014,Swain,14785
2015,Swain,14867
2016,Swain,14729
2017,Swain,14713
2018,Swain,14442
2019,Swain,14275
2010,Transylvania,33087
2011,Transylvania,33007
2012,Transylvania,33020
2013,Transylvania,33153
2014,Transylvania,33400
2015,Transylvania,33725
2016,Transylvania,34074
2017,Transylvania,34495
2018,Transylvania,35115
2019,Transylvania,35484
2010,Tyrrell,4415
2011,Tyrrell,4350
2012,Tyrrell,4135
2013,Tyrrell,4138
2014,Tyrrell,4144
2015,Tyrrell,4219
2016,Tyrrell,4133
2017,Tyrrell,4304
2018,Tyrrell,4260
2019,Tyrrell,4259
2010,Union,202110
2011,Union,204332
2012,Union,207438
2013,Union,210937
2014,Union,215312
2015,Union,219243
2016,Union,223663
2017,Union,228061
2018,Union,232465
2019,Union,237287
2010,Vance,45301
2011,Vance,45512
2012,Vance,45478
2013,Vance,44987
2014,Vance,44989
2015,Vance,45006
2016,Vance,44987
2017,Vance,45144
2018,Vance,45764
2019,Vance,45969
2010,Wake,906882
2011,Wake,924330
2012,Wake,944622
2013,Wake,963856
2014,Wake,983918
2015,Wake,1006139
2016,Wake,1028509
2017,Wake,1049943
2018,Wake,1070197
2019,Wake,1089579
2010,Warren,20981
2011,Warren,21043
2012,Warren,20828
2013,Warren,20618
2014,Warren,20642
2015,Warren,20603
2016,Warren,20287
2017,Warren,20249
2018,Warren,20066
2019,Warren,20022
2010,Washington,13135
2011,Washington,13027
2012,Washington,12767
2013,Washington,12799
2014,Washington,12614
2015,Washington,12527
2016,Washington,12384
2017,Washington,12319
2018,Washington,12153
2019,Washington,12071
2010,Watauga,50967
2011,Watauga,51742
2012,Watauga,52439
2013,Watauga,52664
2014,Watauga,52963
2015,Watauga,53780
2016,Watauga,55142
2017,Watauga,56294
2018,Watauga,57067
2019,Watauga,57899
2010,Wayne,122900
2011,Wayne,124058
2012,Wayne,125169
2013,Wayne,125450
2014,Wayne,125646
2015,Wayne,125217
2016,Wayne,125120
2017,Wayne,124086
2018,Wayne,124703
2019,Wayne,125825
2010,Wilkes,69270
2011,Wilkes,69196
2012,Wilkes,69372
2013,Wilkes,69286
2014,Wilkes,69413
2015,Wilkes,69446
2016,Wilkes,69844
2017,Wilkes,69795
2018,Wilkes,69913
2019,Wilkes,70200
2010,Wilson,81285
2011,Wilson,81273
2012,Wilson,81314
2013,Wilson,80929
2014,Wilson,80866
2015,Wilson,81217
2016,Wilson,81483
2017,Wilson,81597
2018,Wilson,81949
2019,Wilson,82282
2010,Yadkin,38434
2011,Yadkin,38343
2012,Yadkin,38269
2013,Yadkin,38160
2014,Yadkin,37850
2015,Yadkin,37730
2016,Yadkin,37828
2017,Yadkin,38140
2018,Yadkin,38100
2019,Yadkin,38196
2010,Yancey,17806
2011,Yancey,17840
2012,Yancey,17874
2013,Yancey,17899
2014,Yancey,17888
2015,Yancey,17932
2016,Yancey,18093
2017,Yancey,18289
2018,Yancey,18455
2019,Yancey,18623
2010,STATE,9574293
2011,STATE,9656754
2012,STATE,9749123
2013,STATE,9843599
2014,STATE,9933944
2015,STATE,10033079
2016,STATE,10156679
2017,STATE,10270800
2018,STATE,10389148
2019,STATE,10508254
